Updated,Country,Cases,Today Cases,Deaths,Today Deaths,Total Recovered,Today Recovered,Active,Critical,Tests,Population,Continent
1706090159635,South Africa,4076463,0,102595,0,3912506,0,61362,192,26795090,60756135,Africa
1706090159807,South Sudan,18819,0,147,0,18115,0,557,1,410280,11618511,Africa
1706090159591,Spain,13914811,0,121760,0,13762417,0,30634,231,471036328,46719142,Europe
1706090159690,Sri Lanka,672740,0,16893,0,655828,0,19,0,6486117,21575842,Asia
1706090159839,St. Barth,5507,0,6,0,0,0,5501,0,78646,9945,North America
1706090159762,Sudan,63993,0,5046,0,58947,0,0,0,562941,45992020,Africa
1706090159752,Suriname,82588,0,1408,0,0,0,81180,0,242207,596831,South America
1706090159756,Swaziland,75191,0,1427,0,73116,0,648,0,1048704,1184817,Africa
1706090159641,Sweden,2751473,0,27063,0,2720381,129,4029,0,19500873,10218971,Europe
1706090159632,Switzerland,4448453,0,14452,0,4430427,3016,3574,0,23833472,8773637,Europe
1706090159765,Syrian Arab Republic,57743,0,3165,0,54578,0,0,0,146269,19364809,Asia
1706090159594,Taiwan,10241523,0,19005,0,10222518,0,0,0,30742304,23888595,Asia
1706090159809,Tajikistan,17786,0,125,0,17264,0,397,0,0,9957464,Asia
1706090159774,Tanzania,43223,0,846,0,0,0,42377,0,0,63298550,Africa
1706090159629,Thailand,4764382,0,34539,0,4692636,0,37207,0,17270775,70078203,Asia
1706090159800,Timor-Leste,23460,0,138,0,23102,0,220,0,278529,1369429,Asia
1706090159778,Togo,39553,0,290,0,39263,0,0,0,812881,8680837,Africa
1706090159854,Tokelau,80,0,0,0,0,0,80,0,0,1378,Australia-Oceania
1706090159813,Tonga,16950,0,13,0,15638,0,1299,0,535009,107749,Australia-Oceania
1706090159731,Trinidad and Tobago,191496,0,4390,0,187078,0,28,0,913289,1406585,North America
1706090159671,Tunisia,1153361,0,29423,0,0,0,1123938,0,5013383,12046656,Africa
1706090159589,Turkey,17232066,0,102174,0,0,0,17129892,0,162743369,85561976,Asia
1706090159836,Turks and Caicos Islands,6715,0,40,0,6671,0,4,4,616295,39741,North America
1706090159845,Tuvalu,2943,0,1,0,0,0,2942,0,0,12066,Australia-Oceania
1706090159676,UAE,1067030,0,2349,0,0,0,1064681,0,200732262,10081785,Asia
1706090159587,UK,24872653,0,232112,0,24622738,0,17803,0,522526476,68497907,Europe
1706090159576,USA,110672611,0,1193166,0,108352391,0,1127054,2567,1186623953,334805269,North America
1706090159737,Uganda,171983,0,3632,0,100431,0,67920,0,3012408,48432863,Africa
1706090159619,Ukraine,5557995,0,112418,0,5445577,0,0,0,32603805,43192122,Europe
1706090159678,Uruguay,1041111,0,7664,0,1030944,0,2503,18,6114822,3496016,South America
1706090159722,Uzbekistan,253662,0,1637,0,241486,0,10539,23,1377915,34382084,Asia
1706090159819,Vanuatu,12019,0,14,0,11976,0,29,0,24976,321832,Australia-Oceania
1706090159699,Venezuela,552695,0,5856,0,546537,0,302,31,3359014,29266991,South America
1706090159593,Vietnam,11624114,0,43206,0,10640971,0,939937,0,85826548,98953541,Asia
1706090159843,Wallis and Futuna,3550,0,8,0,438,0,3104,0,20508,10982,Australia-Oceania
1706090159856,Western Sahara,10,0,1,0,9,0,0,0,0,626161,Africa
1706090159821,Yemen,11945,0,2159,0,9124,0,662,0,329592,31154867,Asia
1706090159713,Zambia,349304,0,4069,0,341316,0,3919,0,4112961,19470234,Africa
1706090159721,Zimbabwe,266071,0,5731,0,258888,0,1452,12,2525756,15331428,Africa
